TEAM_ID,TIME_STAMPING,PACKET_COUNT,ALTITUDE,PRESSURE,TEMP,VOLTAGE,GNSS_TIME,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,ACCELEROMETER_DATA,GYRO_SPIN_RATE,FLIGHT_SOFTWARE_STATE,OPTIONAL_DATA
2026-INSPACe-CAN-7USAT-020,1786197989,337,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,13.1;4.4;-16.5|48585|39|46.0
2026-INSPACe-CAN-7USAT-020,1786197990,338,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-24.5;-14.1;20.0|41623|42|42.6
2026-INSPACe-CAN-7USAT-020,1786197991,339,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,3.6;-5.0;22.9|47628|27|48.7
2026-INSPACe-CAN-7USAT-020,1786197992,340,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,8.4;9.9;3.5|41299|42|41.6
2026-INSPACe-CAN-7USAT-020,1786197993,341,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-7.4;16.7;-11.4|42660|57|43.9
2026-INSPACe-CAN-7USAT-020,1786197994,342,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-2.3;-10.0;-20.3|47429|23|44.1
2026-INSPACe-CAN-7USAT-020,1786197995,343,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,21.2;7.9;12.5|47196|37|45.7
2026-INSPACe-CAN-7USAT-020,1786197996,344,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,15.0;-1.3;18.0|42262|69|48.1
2026-INSPACe-CAN-7USAT-020,1786197997,345,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-0.6;-13.7;9.9|49460|42|45.2
2026-INSPACe-CAN-7USAT-020,1786197998,346,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,24.9;-19.4;22.4|45859|66|49.0
2026-INSPACe-CAN-7USAT-020,1786197999,347,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,24.4;22.6;3.8|44163|38|41.5
2026-INSPACe-CAN-7USAT-020,1786198000,348,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,2.3;-9.1;16.6|45278|20|45.4
2026-INSPACe-CAN-7USAT-020,1786198001,349,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,8.2;21.0;-22.1|49671|33|47.5
2026-INSPACe-CAN-7USAT-020,1786198002,350,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-1.9;-24.8;4.6|42176|24|42.0
2026-INSPACe-CAN-7USAT-020,1786198003,351,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-11.8;16.1;-0.9|47680|29|42.1
2026-INSPACe-CAN-7USAT-020,1786198004,352,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-6.0;-3.9;-15.2|44580|53|48.5
2026-INSPACe-CAN-7USAT-020,1786198005,353,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-0.8;4.2;-5.9|42017|61|43.0
2026-INSPACe-CAN-7USAT-020,1786198006,354,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,6.2;16.9;-10.3|42359|56|43.5
2026-INSPACe-CAN-7USAT-020,1786198007,355,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,13.3;-22.6;-23.9|47101|34|48.6
2026-INSPACe-CAN-7USAT-020,1786198008,356,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,1.4;16.7;-4.2|45446|54|40.5
2026-INSPACe-CAN-7USAT-020,1786198009,357,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,22.2;-12.5;13.9|47682|57|45.6
2026-INSPACe-CAN-7USAT-020,1786198010,358,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,21.0;-19.7;1.1|42545|46|44.2
2026-INSPACe-CAN-7USAT-020,1786198011,359,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,12.6;-12.4;22.1|41121|47|48.5
2026-INSPACe-CAN-7USAT-020,1786198012,360,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-17.9;-11.5;-19.8|47356|67|44.4
2026-INSPACe-CAN-7USAT-020,1786198013,361,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,11.7;11.8;21.3|41512|61|41.8
2026-INSPACe-CAN-7USAT-020,1786198014,362,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,12.0;-4.2;-7.4|45753|24|40.0
2026-INSPACe-CAN-7USAT-020,1786198015,363,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,-22.5;10.5;8.2|47801|32|46.2
2026-INSPACe-CAN-7USAT-020,1786198016,364,0.0,101325,35.0,8.20,12:00:00,28.61985,77.20662,0.0,8,0.00;0.00;9.81,0.0,LANDED,5.0;-6.1;-16.2|44297|45|45.7
